,word,image_api,image,audio_api,audio,spelling,translation1,translation2,translation3
0,hit,http://5.vndic.net/images/dict/h/hit.gif,./Image/hit.png,http://5.vndic.net/mp3.php?id=hit&dir=992&lang=en&,./MP3/hit.mp3,[hit],"{'type': 'danh từ', 'meanings': [{'meaning': 'đòn, cú đánh trúng (đấm, bắn, ném)', 'examples': [{'origin': 'a clever hit', 'meaning': 'một đòn hay'}, {'origin': 'three hits and five misses', 'meaning': 'ba đòn trúng năm đòn hụt'}]}, {'meaning': 'việc thành công; việc đạt kết quả; việc may mắn', 'examples': [{'origin': 'the new play is quite a hit', 'meaning': 'bản kịch mới rất thành công'}]}, {'meaning': 'lời chỉ trích cay độc, nhận xét gay gắt', 'examples': [{'origin': 'that was a hit at me', 'meaning': 'câu đó nhằm chỉ trích tôi đấy'}]}]}","{'type': 'ngoại động từ', 'meanings': [{'meaning': 'đánh, đấm trúng, bắn trúng, ném trúng', 'examples': [{'origin': 'hit hard!; hit out!', 'meaning': 'đánh mạnh vào'}, {'origin': 'to hit someone on the head', 'meaning': 'đánh trúng đầu ai'}]}, {'meaning': 'va phải, vấp phải, va trúng', 'examples': [{'origin': ""to hit one's head against (on) a door"", 'meaning': 'va đầu vào cửa'}]}, {'meaning': '(nghĩa bóng) chạm nọc, xúc phạm đến, làm tổn thương, làm đau khổ (về tình cảm...)', 'examples': [{'origin': 'to be hard hit', 'meaning': 'bị đòn nặng; bị đánh trúng; (nghĩa bóng) bị xúc phạm nặng nề; bị chạm nọc, bị đau khổ'}]}, {'meaning': 'tìm ra, vớ được', 'examples': [{'origin': 'to hit the right path', 'meaning': 'tìm ra con đường đi đúng'}]}, {'meaning': 'hợp với, đúng với', 'examples': [{'origin': ""to hit someone's fancy"", 'meaning': 'hợp với (đúng với) sở thích của ai'}]}, {'meaning': '(từ Mỹ,nghĩa Mỹ) đạt tới, đạt được, tới', 'examples': []}, {'meaning': '(từ Mỹ,nghĩa Mỹ) mê đắm, đam mê', 'examples': [{'origin': 'to hit the bottle', 'meaning': 'đam mê rượu chè'}]}]}","{'type': 'nội động từ', 'meanings': [{'meaning': '(+ at) nhằm đánh', 'examples': []}, {'meaning': '(+ against, upon) vấp phải, va trúng', 'examples': []}, {'meaning': '(+ on, upon) tìm ra, vớ được', 'examples': [{'origin': 'to hit upon a plan', 'meaning': 'tìm ra một kế hoạch'}]}]}"
1,house,http://5.vndic.net/images/dict/h/house.gif,./Image/house.png,http://5.vndic.net/mp3.php?id=house&dir=903&lang=en&,./MP3/house.mp3,[haus],"{'type': 'danh từ', 'meanings': [{'meaning': 'nhà ở, căn nhà, toà nhà', 'examples': []}, {'meaning': 'nhà, chuồng', 'examples': [{'origin': 'the house of God', 'meaning': 'nhà thờ'}, {'origin': 'house of detention', 'meaning': 'nhà tù, nhà giam'}]}, {'meaning': 'quán trọ, quán rượu, tiệm (rượu...)', 'examples': []}, {'meaning': '(chính trị) viện (trong quốc hội)', 'examples': [{'origin': 'the House of Lords', 'meaning': 'thượng nghị viện (ở Anh)'}, {'origin': 'the House of Commons', 'meaning': 'hạ nghị viện (ở Anh)'}, {'origin': 'House of Representatives', 'meaning': 'hạ nghị viện (Mỹ)'}, {'origin': 'the House of Parliament', 'meaning': 'quốc hội, nghị viện'}, {'origin': 'to make a House', 'meaning': 'đảm bảo triệu tập đủ số đại biểu hạ nghị viện (quốc hội Anh) để có thể quyết định một vấn đề gì'}]}, {'meaning': 'rạp hát, nhà hát, người xem, khán giả; buổi biểu diễn (ở nhà hát)', 'examples': [{'origin': 'appreciative house', 'meaning': 'người xem biết thưởng thức'}, {'origin': 'the first house starts at 8', 'meaning': 'buổi biểu diễn thứ nhất bắt đầu vào lúc 8 giờ'}]}, {'meaning': 'đoàn thể tôn giáo; trụ sở của đoàn thể tôn giáo; tu viện', 'examples': []}, {'meaning': 'hãng buôn', 'examples': []}, {'meaning': '(the House) (thông tục) thị trường chứng khoán Luân-đôn', 'examples': []}, {'meaning': 'nhà tế bần', 'examples': []}, {'meaning': 'ký túc xá; toàn thể học sinh trong ký túc xá', 'examples': []}, {'meaning': 'gia đình, dòng họ; triều đại', 'examples': [{'origin': 'the House of Windsor', 'meaning': 'Hoàng gia Anh'}, {'origin': 'the House of Stuart', 'meaning': 'đồng xtua'}]}, {'meaning': '(quân sự), (từ lóng) xổ số nội bộ', 'examples': []}, {'meaning': '(định ngữ) nuôi ở trong nhà (động vật)', 'examples': []}]}",,
2,money,http://5.vndic.net/images/dict/m/money.gif,./Image/money.png,http://5.vndic.net/mp3.php?id=money&dir=130&lang=en&,./MP3/money.mp3,['mʌni],"{'type': 'danh từ', 'meanings': [{'meaning': 'tiền; tiền bạc', 'examples': [{'origin': ""to have money in one's pocket"", 'meaning': 'có tiền trong túi'}, {'origin': 'to earn/borrow/save a lot of money', 'meaning': 'kiếm được/vay/để dành nhiều tiền'}, {'origin': 'how much money is there in my (bank) account?', 'meaning': 'trong tài khoản của tôi (ở ngân hàng) có bao nhiêu tiền?'}, {'origin': 'to change English money into French money/francs', 'meaning': 'đổi tiền Anh thành tiền Pháp/frăng'}]}, {'meaning': 'của cải; tài sản', 'examples': [{'origin': 'to inherit money from somebody', 'meaning': 'thừa kế tài sản của ai'}, {'origin': ""to lose all one's money"", 'meaning': 'mất hết của cải'}, {'origin': 'to marry somebody for his money', 'meaning': 'lấy ai vì tiền'}]}, {'meaning': '(moneys hoặc monies) những món tiền', 'examples': [{'origin': 'to collect all monies due', 'meaning': 'thu tất cả các món tiền đến hạn phải trả'}]}]}",,
3,father,http://5.vndic.net/images/dict/f/father.gif,./Image/father.png,http://5.vndic.net/mp3.php?id=father&dir=781&lang=en&,./MP3/father.mp3,['fɑ:ðə],"{'type': 'danh từ', 'meanings': [{'meaning': 'cha, bố', 'examples': []}, {'meaning': '(nghĩa bóng) người cha, người đẻ ra, người sản sinh ra', 'examples': [{'origin': 'the wish is father to the thought', 'meaning': 'ước vọng sinh ra sự tin tưởng'}]}, {'meaning': 'tổ tiên, ông tổ', 'examples': [{'origin': 'father of Vietnamese poetry', 'meaning': 'ông tổ của nền thơ ca Việt Nam'}, {'origin': ""to sleep with one's fathers"", 'meaning': 'chầu tổ, chết'}]}, {'meaning': 'người thầy, người cha', 'examples': [{'origin': 'father of the country', 'meaning': 'người cha của đất nước'}]}, {'meaning': 'Chúa, Thượng đế', 'examples': []}, {'meaning': '(tôn giáo) cha cố', 'examples': [{'origin': 'the Holy Father', 'meaning': 'Đức giáo hoàng'}]}, {'meaning': 'người nhiều tuổi nhất, cụ', 'examples': [{'origin': 'Father of the House of Commons', 'meaning': 'người nhiều tuổi nhất ở hạ nghị viện Anh'}, {'origin': 'Father Christmas', 'meaning': 'Ông già Noen'}, {'origin': 'Father Time', 'meaning': 'Thần thời gian'}]}]}",,
4,daughter,http://5.vndic.net/images/dict/d/daughter.gif,./Image/daughter.png,http://5.vndic.net/mp3.php?id=daughter&dir=979&lang=en&,./MP3/daughter.mp3,['dɔ:tə],"{'type': 'danh từ', 'meanings': [{'meaning': 'con gái', 'examples': []}]}",,
5,coin,http://5.vndic.net/images/dict/c/coin.gif,./Image/coin.png,http://5.vndic.net/mp3.php?id=coin&dir=292&lang=en&,./MP3/coin.mp3,[kɔin],"{'type': 'danh từ', 'meanings': [{'meaning': 'đồng tiền (tiền đồng, tiền kim loại); tiền', 'examples': [{'origin': 'false coin', 'meaning': 'đồng tiền giả; (nghĩa bóng) cái giả mạo'}]}]}",,
6,soccer,http://5.vndic.net/images/dict/s/soccer.gif,./Image/soccer.png,http://5.vndic.net/mp3.php?id=soccer&dir=970&lang=en&,./MP3/soccer.mp3,['sɔkə],"{'type': 'danh từ', 'meanings': [{'meaning': '(thông tục) môn bóng đá (như) socker', 'examples': []}]}",,
7,play,http://5.vndic.net/images/dict/p/play.gif,./Image/play.png,http://5.vndic.net/mp3.php?id=play&dir=281&lang=en&,./MP3/play.mp3,[plei],"{'type': 'danh từ', 'meanings': [{'meaning': 'sự vui chơi, sự nô đùa, sự đùa giỡn; trò chơi, trò đùa', 'examples': [{'origin': 'to be at play', 'meaning': 'đang chơi, đang nô đùa'}, {'origin': 'to say something in play', 'meaning': 'nói chơi (nói đùa) điều gì'}, {'origin': 'out of more play', 'meaning': 'chỉ là chơi, chỉ là đùa'}, {'origin': 'a play of words', 'meaning': 'lối chơi chữ; tài dùng chữ'}, {'origin': 'a play on words', 'meaning': 'lối chơi chữ, lối nói mập mờ'}, {'origin': ""child's play"", 'meaning': 'trò chơi trẻ con; (nghĩa bóng) trò hề, việc ngon ơ'}]}, {'meaning': '(thể dục,thể thao) cuộc chơi; trận đấu; cách chơi, lối chơi', 'examples': [{'origin': ""the play began at three o'clock"", 'meaning': 'trận đấu bắt đầu lúc ba giờ'}, {'origin': 'to win the match by good play', 'meaning': 'thắng trận đấu nhờ lối chơi hay'}]}, {'meaning': '(nghĩa bóng) lối chơi, cách xử sự', 'examples': [{'origin': 'fair play', 'meaning': 'lối chơi ngay thẳng; (nghĩa bóng) cách xử sự công bình, cách xử sự ngay thẳng'}]}, {'meaning': 'sự đánh bạc, trò cờ bạc', 'examples': [{'origin': 'to be ruined by play', 'meaning': 'khánh kiệt vì cờ bạc'}, {'origin': 'the play runs high', 'meaning': 'cờ bạc đánh to'}]}, {'meaning': 'kịch, vở kịch, vở tuồng', 'examples': [{'origin': 'to go to the play', 'meaning': 'đi xem kịch'}]}, {'meaning': 'sự giỡn, sự lung linh, sự lấp lánh, sự óng ánh, sự nhấp nhô, sự tung tăng', 'examples': [{'origin': 'the play of moonlight on water', 'meaning': 'ánh trăng lấp lánh trên mặt nước'}, {'origin': 'play of light', 'meaning': 'ánh sáng lung linh, ánh sáng lấp lánh'}, {'origin': 'play of colour', 'meaning': 'màu sắc óng ánh'}, {'origin': 'play of the waves', 'meaning': 'sóng nhấp nhô'}]}, {'meaning': 'sự hoạt động; phạm vi hoạt động; sự vận dụng, sự sử dụng', 'examples': [{'origin': 'in full play', 'meaning': 'đang hoạt động mạnh'}, {'origin': 'to come into play', 'meaning': 'bắt đầu hoạt động; bắt đầu có hiệu lực'}, {'origin': 'to bring (call) into play', 'meaning': 'phát huy'}, {'origin': ""to give full play to one's imagination"", 'meaning': 'để cho tưởng tượng tự do phiêu diêu, thả hồn theo tưởng tượng'}]}, {'meaning': '(kỹ thuật) sự chuyển vận, sự vận hành (của một bộ phận máy); sự xoay chuyển; phạm vi xoay chuyển; cách chạy', 'examples': [{'origin': 'bolts should have a centimeter of play', 'meaning': 'chốt phải có một khoảng xê dịch một xentimet mới được'}]}, {'meaning': '(kỹ thuật) sự long, sự xộc xệch; chỗ long, chỗ xộc xệch; khe hở, độ hở', 'examples': [{'origin': 'a play in the wheel', 'meaning': 'chỗ long ở bánh xe'}]}, {'meaning': 'sự nghỉ việc (của công nhân lúc đình công)', 'examples': []}]}","{'type': 'động từ', 'meanings': [{'meaning': 'chơi, nô đùa, đùa giỡn', 'examples': [{'origin': 'to play with children', 'meaning': 'nô đùa với trẻ con, chơi với trẻ con'}, {'origin': 'to play with love', 'meaning': 'đùa với tình yêu'}]}, {'meaning': 'chơi, đánh (đàn...), thổi (sáo...)...', 'examples': [{'origin': 'to play at cards', 'meaning': 'chơi bài, đánh bài'}, {'origin': 'to play at chess', 'meaning': 'chơi cờ, đánh cờ'}, {'origin': 'to play on the piano', 'meaning': 'chơi đàn pianô, đánh đàn pianô'}, {'origin': 'to play upon words', 'meaning': 'chơi chữ, nói mập mờ'}]}, {'meaning': '(thể dục,thể thao) chơi, đánh, đá... (hay, dở...); chơi được (sân, bãi)', 'examples': [{'origin': 'to play well', 'meaning': 'chơi hay, đánh hay, đá hay...'}, {'origin': 'the ground plays well today', 'meaning': 'sân hôm nay chơi tốt'}]}, {'meaning': 'đánh bạc', 'examples': [{'origin': 'to play high', 'meaning': 'đánh lớn; đánh những quân bài cao'}]}, {'meaning': 'đóng (kịch, tuồng...); biểu diễn', 'examples': [{'origin': 'to play in a film', 'meaning': 'đóng trong một phim'}, {'origin': 'to play (the part of) Ophelia', 'meaning': 'đóng vai Ophelia'}]}, {'meaning': 'nã vào (súng); phun vào (vòi cứu hoả)', 'examples': [{'origin': 'guns begin to play on the walls', 'meaning': 'súng đạn lớn bắt đầu nã vào những bức tường thành'}, {'origin': 'fire-engines play on the fire', 'meaning': 'xe chữa cháy phun vào đám cháy'}]}, {'meaning': 'giỡn, lung linh, lấp lánh, óng ánh, lóng lánh, chập chờn, nhấp nhô', 'examples': [{'origin': 'smile plays about lips', 'meaning': 'nụ cười thoáng (giỡn) trên môi'}, {'origin': 'moonlight plays on water', 'meaning': 'ánh trăng lấp lánh trên mặt nước'}]}, {'meaning': '(nghĩa bóng) xử sự, ăn ở', 'examples': [{'origin': 'to play foul', 'meaning': 'chơi xấu, chơi ăn gian; (nghĩa bóng) xử sự không ngay thẳng, gian lận'}]}, {'meaning': '(kỹ thuật) chạy, chuyển vận, vận hành, xoay dễ dàng... (bộ phận máy)', 'examples': []}, {'meaning': 'nghỉ việc, không làm việc (công nhân đình công)', 'examples': []}, {'meaning': '(thể dục,thể thao) chơi, đánh, đá...', 'examples': [{'origin': 'to play football', 'meaning': 'đá bóng, chơi bóng đá'}, {'origin': 'to play tennis', 'meaning': 'chơi quần vợt, đánh quần vợt'}, {'origin': 'to play chess', 'meaning': 'đánh cờ'}]}, {'meaning': '(âm nhạc) chơi, đánh, kéo, thổi...', 'examples': [{'origin': 'to play the piano', 'meaning': 'chơi pianô, đánh đàn pianô'}, {'origin': 'to play the violon', 'meaning': 'kéo viôlông'}, {'origin': 'to play the flute', 'meaning': 'thổi sáo'}]}, {'meaning': 'đánh (một quả bóng), đánh ra (một quân bài); đi (một quân cờ)', 'examples': [{'origin': 'to play the ball into the net', 'meaning': 'đánh quả bóng vào lưới'}]}, {'meaning': '(thể dục,thể thao) thi đấu với, đấu', 'examples': [{'origin': 'to play the best team', 'meaning': 'đấu với đội hay nhất'}, {'origin': 'to play a match', 'meaning': 'đấu một trận'}, {'origin': 'to play somebody at chess', 'meaning': 'đánh cờ với ai'}]}, {'meaning': '(thể dục,thể thao) chọn (ai) vào chơi...; cho (ai) vào chơi... (trong đội)', 'examples': [{'origin': 'to play someone as goalkeeper', 'meaning': 'chọn ai làm người giữ gôn'}]}, {'meaning': 'đóng, đóng vai, diễn (kịch...), biểu diễn (bản nhạc...); giả làm (để đùa chơi)', 'examples': [{'origin': 'to play Hamlet', 'meaning': 'đóng vai Hăm-lét'}, {'origin': 'to play a tragedy', 'meaning': 'diễn một vở kịch'}, {'origin': ""let's play that we are soldiers"", 'meaning': 'chúng ta hãy giả làm bộ đội'}]}, {'meaning': 'xử sự như là', 'examples': [{'origin': 'to play truant', 'meaning': 'trốn học'}]}, {'meaning': 'làm chơi, chơi xỏ (ai, một vố)', 'examples': [{'origin': 'to play a trick upon somebody; to play somebody a trick', 'meaning': 'chơi xỏ ai một vố'}]}, {'meaning': 'nả (súng...), chiếu (đèn pha...), phun (nước)', 'examples': [{'origin': 'to play guns on the walls', 'meaning': 'nã súng lớn vào những bức tường thành'}, {'origin': 'to play water on the fire', 'meaning': 'phun nước vào đám cháy'}]}, {'meaning': 'giật, giật dây câu cho mệt (cá)', 'examples': [{'origin': 'to play a fish', 'meaning': 'giật dây câu cho mệt cá'}]}]}",
8,communication,http://5.vndic.net/images/dict/c/communication.gif,./Image/communication.png,http://5.vndic.net/mp3.php?id=communication&dir=936&lang=en&,./MP3/communication.mp3,"[kə,mju:ni'kei∫n]","{'type': 'danh từ', 'meanings': [{'meaning': 'sự truyền đạt, sự thông tri, sự thông tin; tin tức truyền đạt; thông báo', 'examples': [{'origin': 'communication of disease', 'meaning': 'sự lan truyền bệnh tật, sự lây bệnh'}, {'origin': 'being deaf and dumb makes communication very difficult', 'meaning': 'bị điếc và câm làm cho việc giao tiếp rất khó khăn'}]}, {'meaning': 'sự giao thiệp, sự liên lạc', 'examples': [{'origin': 'to get into communication with somebody', 'meaning': 'liên lạc với ai'}, {'origin': 'to be in secret communication with the enemy', 'meaning': 'liên lạc lén lút với địch, tư thông với quân địch'}, {'origin': ""there's no communication between the two rooms"", 'meaning': 'hai phòng không thông nhau'}]}, {'meaning': '(communications) những phương tiện liên lạc (đường bộ, đường sắt, điện thoại, điện tín, phát thanh, truyền hình)', 'examples': [{'origin': 'telephone communications between the two cities have been restored', 'meaning': 'phương tiện liên lạc bằng điện thoại giữa hai thành phố đã được phục hồi'}, {'origin': 'widespread flooding has prevented all communications with the remote areas of this province', 'meaning': 'nạn lụt lội tràn lan đã cản trở mọi sự liên lạc với các vùng xa trong tỉnh này'}]}]}",,
9,block,http://5.vndic.net/images/dict/b/block.gif,./Image/block.png,http://5.vndic.net/mp3.php?id=block&dir=852&lang=en&,./MP3/block.mp3,[blɔk],"{'type': 'danh từ', 'meanings': [{'meaning': 'khối, tảng, súc (đá, gỗ...)', 'examples': []}, {'meaning': 'cái thớt, đon kê, tấm gỗ kê để chặt đầu (người bị tử hình)', 'examples': []}, {'meaning': 'khuôn (mũ); đầu giả (để trưng bày mũ, tóc giả...)', 'examples': []}, {'meaning': 'khuôn nhà lớn, nhà khối (ở giữa bốn con đường)', 'examples': []}, {'meaning': 'vật chướng ngại; sự trở ngại; sự tắc nghẽn, sự tắc nghẽn xe cộ', 'examples': []}, {'meaning': 'lô đất (chính phủ cấp cho tư nhân); (từ Mỹ,nghĩa Mỹ) khoảnh đất trong thành phố', 'examples': []}, {'meaning': 'bản khắc (để in)', 'examples': []}, {'meaning': 'số lớn cổ phần', 'examples': []}, {'meaning': '(ngành đường sắt) đoạn đường; đoàn toa xe', 'examples': []}, {'meaning': '(kỹ thuật) puli', 'examples': []}, {'meaning': 'thông cáo phản đối một dự luật (nghị viện)', 'examples': []}, {'meaning': '(úc) đường phố lớn có nhiều người đi dạo', 'examples': []}, {'meaning': '(từ lóng) cái đầu (người)', 'examples': []}, {'meaning': 'người đần độn', 'examples': []}, {'meaning': 'người nhẫn tâm', 'examples': []}]}",,
